,Compnay Name,CIK,Notes Link,10-K Report Page URL,End Date of Fiscal Year
109,Dun & Bradstreet Corp,0001115222,https://www.sec.gov/Archives/edgar/data/0001115222/000119312512088493/R12.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-12-088493-index.htm,2011-12-31
110,Dun & Bradstreet Corp,0001115222,http://makeresearchgreatagain.com/sec_files/Dun_&_Bradstreet_Corp_2011-03-01_report.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-11-051310-index.htm,2010-12-31
111,Dun & Bradstreet Corp,0001115222,http://makeresearchgreatagain.com/sec_files/Dun_&_Bradstreet_Corp_2010-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-10-039993-index.htm,2009-12-31
112,Dun & Bradstreet Corp,0001115222,http://makeresearchgreatagain.com/sec_files/Dun_&_Bradstreet_Corp_2009-02-24_report.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-09-036159-index.htm,2008-12-31
113,Dun & Bradstreet Corp,0001115222,http://makeresearchgreatagain.com/sec_files/Dun_&_Bradstreet_Corp_2008-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-08-037503-index.htm,2007-12-31
114,Dun & Bradstreet Corp,0001115222,http://makeresearchgreatagain.com/sec_files/Dun_&_Bradstreet_Corp_2007-02-28_report.html,https://www.sec.gov/Archives/edgar/data/0001115222/0001193125-07-041994-index.htm,2006-12-31
115,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260417000046/R12.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-17-000046-index.htm,2017-09-30
116,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260416000105/R12.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-16-000105-index.htm,2016-09-30
117,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260415000051/R12.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-15-000051-index.htm,2015-09-30
118,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260414000048/R12.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-14-000048-index.htm,2014-09-30
119,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260413000044/R12.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-13-000044-index.htm,2013-09-30
120,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000003260412000012/R11.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0000032604-12-000012-index.htm,2012-09-30
121,Emerson Electric Co,0000032604,https://www.sec.gov/Archives/edgar/data/0000032604/000114420411066373/R11.htm,https://www.sec.gov/Archives/edgar/data/0000032604/0001144204-11-066373-index.htm,2011-09-30
