,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
157,FISV,0000798354,000162828016011435,https://www.sec.gov/Archives/edgar/data/0000798354/000162828016011435/R42.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001628280-16-011435.txt
158,FISV,0000798354,000119312515056319,https://www.sec.gov/Archives/edgar/data/0000798354/000119312515056319/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-15-056319.txt
159,FISV,0000798354,000119312515056319,https://www.sec.gov/Archives/edgar/data/0000798354/000119312515056319/R23.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-15-056319.txt
160,FISV,0000798354,000119312515056319,https://www.sec.gov/Archives/edgar/data/0000798354/000119312515056319/R40.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-15-056319.txt
161,FISV,0000798354,000119312514060861,https://www.sec.gov/Archives/edgar/data/0000798354/000119312514060861/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-14-060861.txt
162,FISV,0000798354,000119312514060861,https://www.sec.gov/Archives/edgar/data/0000798354/000119312514060861/R23.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-14-060861.txt
163,FISV,0000798354,000119312514060861,https://www.sec.gov/Archives/edgar/data/0000798354/000119312514060861/R40.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-14-060861.txt
164,FISV,0000798354,000119312513071589,https://www.sec.gov/Archives/edgar/data/0000798354/000119312513071589/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-13-071589.txt
165,FISV,0000798354,000119312513071589,https://www.sec.gov/Archives/edgar/data/0000798354/000119312513071589/R39.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-13-071589.txt
166,FISV,0000798354,000119312512077375,https://www.sec.gov/Archives/edgar/data/0000798354/000119312512077375/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-12-077375.txt
167,FISV,0000798354,000119312512077375,https://www.sec.gov/Archives/edgar/data/0000798354/000119312512077375/R36.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001193125-12-077375.txt
168,GOOG,0001652044,000165204420000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204420000008/R16.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-20-000008.txt
169,GOOG,0001652044,000165204420000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204420000008/R65.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-20-000008.txt
170,GOOG,0001652044,000165204420000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204420000008/R67.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-20-000008.txt
171,GOOG,0001652044,000165204420000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204420000008/R69.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-20-000008.txt
172,GOOG,0001652044,000165204419000004,https://www.sec.gov/Archives/edgar/data/0001652044/000165204419000004/R15.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-19-000004.txt
173,GOOG,0001652044,000165204419000004,https://www.sec.gov/Archives/edgar/data/0001652044/000165204419000004/R58.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-19-000004.txt
174,GOOG,0001652044,000165204419000004,https://www.sec.gov/Archives/edgar/data/0001652044/000165204419000004/R60.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-19-000004.txt
175,GOOG,0001652044,000165204419000004,https://www.sec.gov/Archives/edgar/data/0001652044/000165204419000004/R62.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-19-000004.txt
176,GOOG,0001652044,000165204418000007,https://www.sec.gov/Archives/edgar/data/0001652044/000165204418000007/R16.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-18-000007.txt
177,GOOG,0001652044,000165204418000007,https://www.sec.gov/Archives/edgar/data/0001652044/000165204418000007/R60.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-18-000007.txt
178,GOOG,0001652044,000165204418000007,https://www.sec.gov/Archives/edgar/data/0001652044/000165204418000007/R62.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-18-000007.txt
179,GOOG,0001652044,000165204418000007,https://www.sec.gov/Archives/edgar/data/0001652044/000165204418000007/R64.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-18-000007.txt
180,GOOG,0001652044,000165204417000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204417000008/R14.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-17-000008.txt
181,GOOG,0001652044,000165204417000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204417000008/R60.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-17-000008.txt
182,GOOG,0001652044,000165204417000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204417000008/R63.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-17-000008.txt
